{city: Nanjing, timestamp: 2026-01-21 21:05:32, temperature_f: 32}
{city: Pittsburgh, timestamp: 2026-01-21 21:05:32, temperature_f: 64}
{city: San Diego, timestamp: 2026-01-21 21:05:32, temperature_f: 58}
{city: Pittsburgh, timestamp: 2026-01-21 21:05:32, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-21 21:05:32, temperature_f: 64}
{city: San Diego, timestamp: 2026-01-21 21:05:32, temperature_f: 58}
{city: San Diego, timestamp: 2026-01-21 21:05:32, temperature_f: 58}
{city: Nanjing, timestamp: 2026-01-21 21:05:32, temperature_f: 32}
{city: Pittsburgh, timestamp: 2026-01-21 21:05:32, temperature_f: 64}
{city: Nanjing, timestamp: 2026-01-21 21:05:32, temperature_f: 32}
{city: Nanjing, timestamp: 2026-01-21 21:11:20, temperature_f: 32}
{city: Nanjing, timestamp: 2026-01-21 21:11:20, temperature_f: 32}
{city: Nanjing, timestamp: 2026-01-21 21:11:20, temperature_f: 32}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: Pittsburgh, timestamp: 2026-01-21 21:11:20, temperature_f: 64}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: Nanjing, timestamp: 2026-01-21 21:11:20, temperature_f: 32}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: Nanjing, timestamp: 2026-01-21 21:05:32, temperature_f: 32}
{city: Pittsburgh, timestamp: 2026-01-21 21:05:32, temperature_f: 64}
{city: San Diego, timestamp: 2026-01-21 21:05:32, temperature_f: 58}
{city: Pittsburgh, timestamp: 2026-01-21 21:05:32, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-21 21:05:32, temperature_f: 64}
{city: San Diego, timestamp: 2026-01-21 21:05:32, temperature_f: 58}
{city: San Diego, timestamp: 2026-01-21 21:05:32, temperature_f: 58}
{city: Nanjing, timestamp: 2026-01-21 21:05:32, temperature_f: 32}
{city: Pittsburgh, timestamp: 2026-01-21 21:05:32, temperature_f: 64}
{city: Nanjing, timestamp: 2026-01-21 21:05:32, temperature_f: 32}
{city: Nanjing, timestamp: 2026-01-21 21:11:20, temperature_f: 32}
{city: Nanjing, timestamp: 2026-01-21 21:11:20, temperature_f: 32}
{city: Nanjing, timestamp: 2026-01-21 21:11:20, temperature_f: 32}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: Pittsburgh, timestamp: 2026-01-21 21:11:20, temperature_f: 64}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: Nanjing, timestamp: 2026-01-21 21:11:20, temperature_f: 32}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: Nanjing, timestamp: 2026-01-21 21:05:32, temperature_f: 32}
{city: Pittsburgh, timestamp: 2026-01-21 21:05:32, temperature_f: 64}
{city: San Diego, timestamp: 2026-01-21 21:05:32, temperature_f: 58}
{city: Pittsburgh, timestamp: 2026-01-21 21:05:32, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-21 21:05:32, temperature_f: 64}
{city: San Diego, timestamp: 2026-01-21 21:05:32, temperature_f: 58}
{city: San Diego, timestamp: 2026-01-21 21:05:32, temperature_f: 58}
{city: Nanjing, timestamp: 2026-01-21 21:05:32, temperature_f: 32}
{city: Pittsburgh, timestamp: 2026-01-21 21:05:32, temperature_f: 64}
{city: Nanjing, timestamp: 2026-01-21 21:05:32, temperature_f: 32}
{city: Nanjing, timestamp: 2026-01-21 21:11:20, temperature_f: 32}
{city: Nanjing, timestamp: 2026-01-21 21:11:20, temperature_f: 32}
{city: Nanjing, timestamp: 2026-01-21 21:11:20, temperature_f: 32}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: Pittsburgh, timestamp: 2026-01-21 21:11:20, temperature_f: 64}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: Nanjing, timestamp: 2026-01-21 21:11:20, temperature_f: 32}
{city: San Diego, timestamp: 2026-01-21 21:11:20, temperature_f: 58}
{city: San Diego, timestamp: 2026-01-21 21:35:54, temperature_f: 58}
{city: San Diego, timestamp: 2026-01-21 21:35:54, temperature_f: 58}
{city: San Diego, timestamp: 2026-01-21 21:35:54, temperature_f: 58}
{city: Nanjing, timestamp: 2026-01-21 21:35:54, temperature_f: 32}
{city: Nanjing, timestamp: 2026-01-21 21:35:54, temperature_f: 32}
{city: San Diego, timestamp: 2026-01-21 21:35:54, temperature_f: 58}
{city: Pittsburgh, timestamp: 2026-01-21 21:35:54, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-21 21:35:54, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-21 21:35:54, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-21 21:35:54, temperature_f: 64}
